Fp1_mean,Fp1_standard_deviation,Fp1_variance,Fp1_peak_to_peak,Fp1_skewness,Fp1_kurtosis
3.6397933942700034e-09,3.6397933942700034e-09,3.6397933942700034e-09,3.6397933942700034e-09,3.6397933942700034e-09,3.6397933942700034e-09
4.138072455288133e-09,4.138072455288133e-09,4.138072455288133e-09,4.138072455288133e-09,4.138072455288133e-09,4.138072455288133e-09
4.3841127355051745e-09,4.3841127355051745e-09,4.3841127355051745e-09,4.3841127355051745e-09,4.3841127355051745e-09,4.3841127355051745e-09
4.591252114535792e-09,4.591252114535792e-09,4.591252114535792e-09,4.591252114535792e-09,4.591252114535792e-09,4.591252114535792e-09
4.193681037974606e-09,4.193681037974606e-09,4.193681037974606e-09,4.193681037974606e-09,4.193681037974606e-09,4.193681037974606e-09
4.563820817904248e-09,4.563820817904248e-09,4.563820817904248e-09,4.563820817904248e-09,4.563820817904248e-09,4.563820817904248e-09
3.767405501730333e-09,3.767405501730333e-09,3.767405501730333e-09,3.767405501730333e-09,3.767405501730333e-09,3.767405501730333e-09
3.2254751244811543e-09,3.2254751244811543e-09,3.2254751244811543e-09,3.2254751244811543e-09,3.2254751244811543e-09,3.2254751244811543e-09
4.5996256870647155e-09,4.5996256870647155e-09,4.5996256870647155e-09,4.5996256870647155e-09,4.5996256870647155e-09,4.5996256870647155e-09
4.489744842752644e-09,4.489744842752644e-09,4.489744842752644e-09,4.489744842752644e-09,4.489744842752644e-09,4.489744842752644e-09
5.3416986554933485e-09,5.3416986554933485e-09,5.3416986554933485e-09,5.3416986554933485e-09,5.3416986554933485e-09,5.3416986554933485e-09
6.098876560868204e-09,6.098876560868204e-09,6.098876560868204e-09,6.098876560868204e-09,6.098876560868204e-09,6.098876560868204e-09
4.069285662427363e-09,4.069285662427363e-09,4.069285662427363e-09,4.069285662427363e-09,4.069285662427363e-09,4.069285662427363e-09
4.270745433338071e-09,4.270745433338071e-09,4.270745433338071e-09,4.270745433338071e-09,4.270745433338071e-09,4.270745433338071e-09
5.22039557464021e-09,5.22039557464021e-09,5.22039557464021e-09,5.22039557464021e-09,5.22039557464021e-09,5.22039557464021e-09
