Fp1_mean,Fp1_standard_deviation,Fp1_variance,Fp1_peak_to_peak,Fp1_skewness,Fp1_kurtosis
4.512114067127822e-09,4.512114067127822e-09,4.512114067127822e-09,4.512114067127822e-09,4.512114067127822e-09,4.512114067127822e-09
9.606168723996447e-08,9.606168723996447e-08,9.606168723996447e-08,9.606168723996447e-08,9.606168723996447e-08,9.606168723996447e-08
-9.659326522543917e-07,-9.659326522543917e-07,-9.659326522543917e-07,-9.659326522543917e-07,-9.659326522543917e-07,-9.659326522543917e-07
3.9004746267784e-08,3.9004746267784e-08,3.9004746267784e-08,3.9004746267784e-08,3.9004746267784e-08,3.9004746267784e-08
5.8111654385371165e-08,5.8111654385371165e-08,5.8111654385371165e-08,5.8111654385371165e-08,5.8111654385371165e-08,5.8111654385371165e-08
-5.46300040990563e-08,-5.46300040990563e-08,-5.46300040990563e-08,-5.46300040990563e-08,-5.46300040990563e-08,-5.46300040990563e-08
-1.446164599789167e-07,-1.446164599789167e-07,-1.446164599789167e-07,-1.446164599789167e-07,-1.446164599789167e-07,-1.446164599789167e-07
1.685492578865094e-07,1.685492578865094e-07,1.685492578865094e-07,1.685492578865094e-07,1.685492578865094e-07,1.685492578865094e-07
-1.3323978200633735e-09,-1.3323978200633735e-09,-1.3323978200633735e-09,-1.3323978200633735e-09,-1.3323978200633735e-09,-1.3323978200633735e-09
5.615154211290239e-08,5.615154211290239e-08,5.615154211290239e-08,5.615154211290239e-08,5.615154211290239e-08,5.615154211290239e-08
-2.8390675469198096e-07,-2.8390675469198096e-07,-2.8390675469198096e-07,-2.8390675469198096e-07,-2.8390675469198096e-07,-2.8390675469198096e-07
1.2381689776013377e-07,1.2381689776013377e-07,1.2381689776013377e-07,1.2381689776013377e-07,1.2381689776013377e-07,1.2381689776013377e-07
9.009501000423825e-09,9.009501000423825e-09,9.009501000423825e-09,9.009501000423825e-09,9.009501000423825e-09,9.009501000423825e-09
9.647359058368162e-08,9.647359058368162e-08,9.647359058368162e-08,9.647359058368162e-08,9.647359058368162e-08,9.647359058368162e-08
-4.08255205362998e-08,-4.08255205362998e-08,-4.08255205362998e-08,-4.08255205362998e-08,-4.08255205362998e-08,-4.08255205362998e-08
-6.738594255085453e-08,-6.738594255085453e-08,-6.738594255085453e-08,-6.738594255085453e-08,-6.738594255085453e-08,-6.738594255085453e-08
1.2492008832964956e-07,1.2492008832964956e-07,1.2492008832964956e-07,1.2492008832964956e-07,1.2492008832964956e-07,1.2492008832964956e-07
-1.4430049074085207e-08,-1.4430049074085207e-08,-1.4430049074085207e-08,-1.4430049074085207e-08,-1.4430049074085207e-08,-1.4430049074085207e-08
1.229369962152526e-07,1.229369962152526e-07,1.229369962152526e-07,1.229369962152526e-07,1.229369962152526e-07,1.229369962152526e-07
1.0850111175110742e-07,1.0850111175110742e-07,1.0850111175110742e-07,1.0850111175110742e-07,1.0850111175110742e-07,1.0850111175110742e-07
2.4118278333257047e-07,2.4118278333257047e-07,2.4118278333257047e-07,2.4118278333257047e-07,2.4118278333257047e-07,2.4118278333257047e-07
-1.0712727684757935e-07,-1.0712727684757935e-07,-1.0712727684757935e-07,-1.0712727684757935e-07,-1.0712727684757935e-07,-1.0712727684757935e-07
4.610052074303745e-08,4.610052074303745e-08,4.610052074303745e-08,4.610052074303745e-08,4.610052074303745e-08,4.610052074303745e-08
3.0040050816388087e-07,3.0040050816388087e-07,3.0040050816388087e-07,3.0040050816388087e-07,3.0040050816388087e-07,3.0040050816388087e-07
1.6344820942449777e-07,1.6344820942449777e-07,1.6344820942449777e-07,1.6344820942449777e-07,1.6344820942449777e-07,1.6344820942449777e-07
2.2381851359209414e-07,2.2381851359209414e-07,2.2381851359209414e-07,2.2381851359209414e-07,2.2381851359209414e-07,2.2381851359209414e-07
-4.689575406683154e-08,-4.689575406683154e-08,-4.689575406683154e-08,-4.689575406683154e-08,-4.689575406683154e-08,-4.689575406683154e-08
-3.619978480631452e-09,-3.619978480631452e-09,-3.619978480631452e-09,-3.619978480631452e-09,-3.619978480631452e-09,-3.619978480631452e-09
-1.6766304431753386e-08,-1.6766304431753386e-08,-1.6766304431753386e-08,-1.6766304431753386e-08,-1.6766304431753386e-08,-1.6766304431753386e-08
2.0069224367259645e-07,2.0069224367259645e-07,2.0069224367259645e-07,2.0069224367259645e-07,2.0069224367259645e-07,2.0069224367259645e-07
3.42325958290397e-10,3.42325958290397e-10,3.42325958290397e-10,3.42325958290397e-10,3.42325958290397e-10,3.42325958290397e-10
6.476746045948306e-07,6.476746045948306e-07,6.476746045948306e-07,6.476746045948306e-07,6.476746045948306e-07,6.476746045948306e-07
6.913373314434266e-08,6.913373314434266e-08,6.913373314434266e-08,6.913373314434266e-08,6.913373314434266e-08,6.913373314434266e-08
-6.196937943796808e-08,-6.196937943796808e-08,-6.196937943796808e-08,-6.196937943796808e-08,-6.196937943796808e-08,-6.196937943796808e-08
2.852861010198617e-08,2.852861010198617e-08,2.852861010198617e-08,2.852861010198617e-08,2.852861010198617e-08,2.852861010198617e-08
-2.0336668734888175e-07,-2.0336668734888175e-07,-2.0336668734888175e-07,-2.0336668734888175e-07,-2.0336668734888175e-07,-2.0336668734888175e-07
4.190045445788916e-10,4.190045445788916e-10,4.190045445788916e-10,4.190045445788916e-10,4.190045445788916e-10,4.190045445788916e-10
