Fp1_mean,Fp1_standard_deviation,Fp1_variance,Fp1_peak_to_peak,Fp1_skewness,Fp1_kurtosis
6.599412218969907e-09,6.599412218969907e-09,6.599412218969907e-09,6.599412218969907e-09,6.599412218969907e-09,6.599412218969907e-09
7.535398623971172e-09,7.535398623971172e-09,7.535398623971172e-09,7.535398623971172e-09,7.535398623971172e-09,7.535398623971172e-09
8.186807534731773e-09,8.186807534731773e-09,8.186807534731773e-09,8.186807534731773e-09,8.186807534731773e-09,8.186807534731773e-09
7.940218525323855e-09,7.940218525323855e-09,7.940218525323855e-09,7.940218525323855e-09,7.940218525323855e-09,7.940218525323855e-09
7.555945910708825e-09,7.555945910708825e-09,7.555945910708825e-09,7.555945910708825e-09,7.555945910708825e-09,7.555945910708825e-09
8.094906090174231e-09,8.094906090174231e-09,8.094906090174231e-09,8.094906090174231e-09,8.094906090174231e-09,8.094906090174231e-09
6.385582334122984e-09,6.385582334122984e-09,6.385582334122984e-09,6.385582334122984e-09,6.385582334122984e-09,6.385582334122984e-09
5.9615359131868885e-09,5.9615359131868885e-09,5.9615359131868885e-09,5.9615359131868885e-09,5.9615359131868885e-09,5.9615359131868885e-09
7.768166534368855e-09,7.768166534368855e-09,7.768166534368855e-09,7.768166534368855e-09,7.768166534368855e-09,7.768166534368855e-09
7.728236803740215e-09,7.728236803740215e-09,7.728236803740215e-09,7.728236803740215e-09,7.728236803740215e-09,7.728236803740215e-09
9.316153399946132e-09,9.316153399946132e-09,9.316153399946132e-09,9.316153399946132e-09,9.316153399946132e-09,9.316153399946132e-09
1.0582458086884291e-08,1.0582458086884291e-08,1.0582458086884291e-08,1.0582458086884291e-08,1.0582458086884291e-08,1.0582458086884291e-08
7.60131859297177e-09,7.60131859297177e-09,7.60131859297177e-09,7.60131859297177e-09,7.60131859297177e-09,7.60131859297177e-09
7.875913649348789e-09,7.875913649348789e-09,7.875913649348789e-09,7.875913649348789e-09,7.875913649348789e-09,7.875913649348789e-09
8.75549324724577e-09,8.75549324724577e-09,8.75549324724577e-09,8.75549324724577e-09,8.75549324724577e-09,8.75549324724577e-09
9.107601628380815e-09,9.107601628380815e-09,9.107601628380815e-09,9.107601628380815e-09,9.107601628380815e-09,9.107601628380815e-09
6.945295077933292e-09,6.945295077933292e-09,6.945295077933292e-09,6.945295077933292e-09,6.945295077933292e-09,6.945295077933292e-09
8.830288488985112e-09,8.830288488985112e-09,8.830288488985112e-09,8.830288488985112e-09,8.830288488985112e-09,8.830288488985112e-09
8.076118425390235e-09,8.076118425390235e-09,8.076118425390235e-09,8.076118425390235e-09,8.076118425390235e-09,8.076118425390235e-09
1.1193037730990563e-08,1.1193037730990563e-08,1.1193037730990563e-08,1.1193037730990563e-08,1.1193037730990563e-08,1.1193037730990563e-08
7.937740878671804e-09,7.937740878671804e-09,7.937740878671804e-09,7.937740878671804e-09,7.937740878671804e-09,7.937740878671804e-09
7.844360266169449e-09,7.844360266169449e-09,7.844360266169449e-09,7.844360266169449e-09,7.844360266169449e-09,7.844360266169449e-09
7.890418182264286e-09,7.890418182264286e-09,7.890418182264286e-09,7.890418182264286e-09,7.890418182264286e-09,7.890418182264286e-09
8.67012898674841e-09,8.67012898674841e-09,8.67012898674841e-09,8.67012898674841e-09,8.67012898674841e-09,8.67012898674841e-09
1.0942604938157622e-08,1.0942604938157622e-08,1.0942604938157622e-08,1.0942604938157622e-08,1.0942604938157622e-08,1.0942604938157622e-08
7.238923053410831e-09,7.238923053410831e-09,7.238923053410831e-09,7.238923053410831e-09,7.238923053410831e-09,7.238923053410831e-09
8.13197248227089e-09,8.13197248227089e-09,8.13197248227089e-09,8.13197248227089e-09,8.13197248227089e-09,8.13197248227089e-09
7.270345687672391e-09,7.270345687672391e-09,7.270345687672391e-09,7.270345687672391e-09,7.270345687672391e-09,7.270345687672391e-09
9.919037996317592e-09,9.919037996317592e-09,9.919037996317592e-09,9.919037996317592e-09,9.919037996317592e-09,9.919037996317592e-09
7.243827627118682e-09,7.243827627118682e-09,7.243827627118682e-09,7.243827627118682e-09,7.243827627118682e-09,7.243827627118682e-09
7.1737160286211605e-09,7.1737160286211605e-09,7.1737160286211605e-09,7.1737160286211605e-09,7.1737160286211605e-09,7.1737160286211605e-09
6.962433370692916e-09,6.962433370692916e-09,6.962433370692916e-09,6.962433370692916e-09,6.962433370692916e-09,6.962433370692916e-09
7.607778958283518e-09,7.607778958283518e-09,7.607778958283518e-09,7.607778958283518e-09,7.607778958283518e-09,7.607778958283518e-09
9.597453438398009e-09,9.597453438398009e-09,9.597453438398009e-09,9.597453438398009e-09,9.597453438398009e-09,9.597453438398009e-09
6.955613603886419e-09,6.955613603886419e-09,6.955613603886419e-09,6.955613603886419e-09,6.955613603886419e-09,6.955613603886419e-09
7.394280101979526e-09,7.394280101979526e-09,7.394280101979526e-09,7.394280101979526e-09,7.394280101979526e-09,7.394280101979526e-09
8.026692172351287e-09,8.026692172351287e-09,8.026692172351287e-09,8.026692172351287e-09,8.026692172351287e-09,8.026692172351287e-09
7.00741465375696e-09,7.00741465375696e-09,7.00741465375696e-09,7.00741465375696e-09,7.00741465375696e-09,7.00741465375696e-09
8.135065734335742e-09,8.135065734335742e-09,8.135065734335742e-09,8.135065734335742e-09,8.135065734335742e-09,8.135065734335742e-09
1.0115606143913915e-08,1.0115606143913915e-08,1.0115606143913915e-08,1.0115606143913915e-08,1.0115606143913915e-08,1.0115606143913915e-08
8.890413936944788e-09,8.890413936944788e-09,8.890413936944788e-09,8.890413936944788e-09,8.890413936944788e-09,8.890413936944788e-09
7.867187111655751e-09,7.867187111655751e-09,7.867187111655751e-09,7.867187111655751e-09,7.867187111655751e-09,7.867187111655751e-09
9.048101300031511e-09,9.048101300031511e-09,9.048101300031511e-09,9.048101300031511e-09,9.048101300031511e-09,9.048101300031511e-09
9.225704717401671e-09,9.225704717401671e-09,9.225704717401671e-09,9.225704717401671e-09,9.225704717401671e-09,9.225704717401671e-09
7.820122727182996e-09,7.820122727182996e-09,7.820122727182996e-09,7.820122727182996e-09,7.820122727182996e-09,7.820122727182996e-09
7.1160311571359695e-09,7.1160311571359695e-09,7.1160311571359695e-09,7.1160311571359695e-09,7.1160311571359695e-09,7.1160311571359695e-09
7.968993411918549e-09,7.968993411918549e-09,7.968993411918549e-09,7.968993411918549e-09,7.968993411918549e-09,7.968993411918549e-09
7.63714388160354e-09,7.63714388160354e-09,7.63714388160354e-09,7.63714388160354e-09,7.63714388160354e-09,7.63714388160354e-09
5.3435751299479045e-09,5.3435751299479045e-09,5.3435751299479045e-09,5.3435751299479045e-09,5.3435751299479045e-09,5.3435751299479045e-09
8.478502494919893e-09,8.478502494919893e-09,8.478502494919893e-09,8.478502494919893e-09,8.478502494919893e-09,8.478502494919893e-09
7.354465263982516e-09,7.354465263982516e-09,7.354465263982516e-09,7.354465263982516e-09,7.354465263982516e-09,7.354465263982516e-09
